candidate_id,candidate_label,model,model_label,feature_set,population_fingerprint,train_rows,train_fraud,best_iteration,scale_pos_weight,threshold,threshold_strategy,validation_pr_auc,validation_roc_auc,validation_precision,validation_recall,validation_f1,validation_alert_rate,training_seconds
A,A · Logistic · Baseline,logistic_regression,Logistic Regression,baseline,xor64:3f1a400c9204dedc,3723,24,,,0.07398024348581876,max_recall_at_min_precision,0.5660778232644794,0.9323274187281441,0.1,0.9285714285714286,0.18055555555555555,0.11638316920322292,0.12430909600152518
B,B · XGBoost · Baseline,xgboost,XGBoost,baseline,xor64:3f1a400c9204dedc,3723,24,159.0,154.125,0.009112711064517498,max_recall_at_min_precision,0.755989731397666,0.9933622587747701,0.1,1.0,0.18181818181818182,0.12533572068039392,0.2190498470008606
C,C · Logistic · Balance,logistic_regression,Logistic Regression,balance,xor64:3f1a400c9204dedc,3723,24,,,0.008280047329194216,max_recall_at_min_precision,0.8484017091685159,0.9985753140784872,0.1,1.0,0.18181818181818182,0.12533572068039392,0.1463924070012581
D,D · XGBoost · Balance,xgboost,XGBoost,balance,xor64:3f1a400c9204dedc,3723,24,20.0,154.125,0.2171362191438675,max_recall_at_min_precision,0.9555984555984556,0.9985105556275093,0.10144927536231885,1.0,0.18421052631578946,0.12354521038495972,0.1885753520000435
