type,fraud_label,rows,origin_delta_negative_rate,destination_delta_negative_rate,origin_exact_match_rate,destination_exact_match_rate,origin_residual_p50,destination_residual_p50
CASH_OUT,Gian lận,3980,0.0,0.006532663316582915,0.9939698492462311,0.871859296482412,0.0,0.0
CASH_OUT,Không gian lận,70328,1.4219087703332954e-05,0.017773859629166194,0.10689910135365716,0.8007905812763053,120623.42,5.820766091346741e-11
TRANSFER,Gian lận,3961,0.0,0.00025246149962130775,0.9954556930068165,0.0005049229992426155,0.0,447474.67
TRANSFER,Không gian lận,16702,0.0,0.00898096036402826,0.0380193988743863,0.780924440186804,454253.08,1.1641532182693481e-10
