type,feature,train_all,train_day_01_14_auc,train_day_15_21_auc,train_day_01_14_direction,train_day_15_21_direction,auc_period_gap,direction_consistent
CASH_OUT,destination_amount_residual,0.6199407003307975,0.6054096610712126,0.6121265581657248,lower,lower,0.006716897094512175,True
CASH_OUT,destination_balance_delta,0.720583363796002,0.7075820775313102,0.7482507825765939,higher,higher,0.04066870504528375,True
CASH_OUT,origin_amount_residual,0.9666978748251552,0.9628829649834045,0.970373811736116,lower,lower,0.0074908467527115,True
CASH_OUT,origin_balance_delta,0.939764166427062,0.9324780520180296,0.9511307430875003,higher,higher,0.01865269106947076,True
TRANSFER,destination_amount_residual,0.9605610229010786,0.9481924534809167,0.9916937966308857,higher,higher,0.04350134314996901,True
TRANSFER,destination_balance_delta,0.9885824279238441,0.9832305853729841,0.9988041853512706,lower,lower,0.015573599978286445,True
TRANSFER,origin_amount_residual,0.9857380716929591,0.9863941712922935,0.9873326851166548,lower,lower,0.0009385138243613866,True
TRANSFER,origin_balance_delta,0.9382307639588974,0.9345493346278209,0.9455891434993703,higher,higher,0.011039808871549428,True
