type,fraud_label,row_count,origin_delta_negative_rate,destination_delta_negative_rate,origin_exact_match_rate,destination_exact_match_rate,origin_residual_p50,destination_residual_p50
CASH_OUT,Gian lận,3980,0.0,0.6532663316582915,99.39698492462311,80.80402010050251,0.0,0.0
CASH_OUT,Không gian lận,70328,0.0014219087703332954,1.7773859629166195,10.342964395404392,71.20208167443977,120623.42,5.820766091346741e-11
TRANSFER,Gian lận,3961,0.0,0.025246149962130777,99.54556930068165,0.025246149962130777,0.0,447474.67
TRANSFER,Không gian lận,16702,0.0,0.898096036402826,3.6881810561609383,69.82397317686505,454253.08,1.1641532182693481e-10
